username,portfolio_size,agentic_share,avg_mu,avg_builds
exalted_mud_vjz,3,0.333,1.0,1.0
exfuncionario,4,1.0,1.0,3.0
f0rty7even,22,0.955,1.0454545454545454,2.3181818181818183
fabri-lab,7,1.0,48.714285714285715,33.0
feedforge,12,1.0,1.0833333333333333,3.0833333333333335
fenlo-services,3,0.0,0.6666666666666666,7.333333333333333
filingradar,6,1.0,1.0,3.0
financialj,5,0.0,0.4,1.0
fixmyerrorcode,2,0.5,1.0,17.0
flavorful_fancy,2,0.0,1.0,3.0
forge-api,2,0.5,12.0,9.0
fraktalapi,4,0.5,1.25,21.25
fruitful_quintessence,36,0.944,0.7777777777777778,5.527777777777778
gaurangghinaiya,2,0.0,1.5,5.5
gauravsaran,8,0.0,4.0,14.875
gauthier-huguenin,19,0.0,1.0,1.0
george.the.developer,79,0.544,4.329113924050633,12.708860759493671
get-leads,8,1.0,31.5,241.375
glassventures,18,0.0,2.1666666666666665,1.7777777777777777
glavier,2,0.0,4.0,7.0
gochujang,149,0.409,1.8187919463087248,7.8120805369127515
gopalakrishnan,18,0.722,2.111111111111111,15.666666666666666
gratenes,2,0.0,1.0,11.5
gray0,2,0.0,0.0,2.5
growth-installations,8,0.0,1.25,8.0
gtforgedata,4,1.0,1.0,6.0
gtm_engineer,2,0.0,0.5,29.0
ha55an_dev,2,1.0,0.5,8.0
habit.zhou,8,0.875,13.5,14.625
halobartku,9,0.889,0.0,7.666666666666667
happitap,122,0.869,1.9180327868852458,11.327868852459016
hard_proger,2,0.0,1.0,12.0
harshmaur,11,0.818,339.72727272727275,227.45454545454547
hassy,3,0.0,1.6666666666666667,6.0
herazur,4,1.0,0.5,7.75
hermes-yuri,2,0.0,1.0,3.0
hernan_restrepo,2,1.0,1.0,6.0
hipersoft,168,1.0,1.2857142857142858,6.851190476190476
hlymrk,2,1.0,3.5,49.5
hounderd,2,0.5,6.5,23.5
how-to-download-videos,67,0.0,0.7014925373134329,3.0
ichigowa,8,1.0,9.0,1.75
ihndev,2,1.0,1.0,6.0
ikoles,3,0.333,0.3333333333333333,4.0
infoweaver,2,0.0,1.5,3.0
instaprism,30,1.0,10.933333333333334,23.433333333333334
insulin_junkie,2,0.5,0.5,1.0
intropix,2,1.0,51.0,33.0
invaluable_rondeau,8,0.625,0.625,6.625
jackwenyoung,2,0.0,1.5,13.5
jacquemus,2,1.0,4.0,44.5
jakub.kopecky,15,0.0,0.6666666666666666,16.8
jan_hilgard,3,1.0,1.3333333333333333,10.333333333333334
janbruinier,16,0.063,0.4375,2.0625
jarvismoney,2,1.0,2.0,3.5
jaybird,12,1.0,10.333333333333334,13.25
jeremy_frost,4,0.0,0.75,96.0
jkuzz,2,0.0,0.0,29.5
jp_ishac,3,1.0,3.6666666666666665,3.3333333333333335
jpclima,2,0.0,1.0,15.0
juryless_lens,14,1.0,1.1428571428571428,5.0
jweninger16,2,0.0,0.0,5.0
kaitoeasyapi,6,0.5,738.3333333333334,183.0
kjames2001,5,1.0,0.4,4.6
kuaima,12,0.0,0.6666666666666666,78.0
ladra,2,0.5,1.5,12.5
leaderly_jackpine,3,0.333,1.0,10.0
ledgerfield_data,2,1.0,1.5,4.5
lemur,4,1.0,25.5,30.0
lentic_clockss,125,0.016,1.568,13.368
listenllc,2,1.0,0.0,5.0
loongge,2,1.0,0.5,19.0
lorify,2,1.0,1.0,11.0
louvre,6,1.0,14.0,66.33333333333333
lsdflying,3,0.0,0.3333333333333333,24.333333333333332
lucapaparosmm,4,0.0,0.0,2.5
luis.pinto,4,1.0,2.0,23.25
lume,2,0.0,20.5,3.5
madwezza,5,0.2,1.0,2.8
maged120,77,1.0,4.805194805194805,9.818181818181818
mantisus,2,1.0,12.5,20.5
maplerope44,4,0.75,11.25,35.25
marekhartmann,9,1.0,1.0,3.6666666666666665
marklp,4,0.75,2.0,72.5
maroon_trio,2,1.0,4.0,35.5
martin.forejt,6,0.0,3.0,11.0
maverickpoint,4,1.0,0.25,1.5
mayara,2,0.0,0.5,1.5
mellow_mint,2,0.0,2.0,6.0
metaworldsystems,3,1.0,0.6666666666666666,3.6666666666666665
meticulous_snail,54,0.204,0.7592592592592593,3.4814814814814814
meticulous_sweetwilliam,8,0.25,1.0,3.5
mickeywmoore,2,0.5,0.5,8.5
minji_k,2,1.0,1.0,5.0
minyo,2,0.0,0.0,28.5
montkit,3,1.0,1.0,5.333333333333333
monumental_world,36,1.0,1.5555555555555556,3.638888888888889
moonlings,5,1.0,1.0,7.4
moorish-dev,3,0.0,2.0,10.333333333333334
morph_coder,10,0.3,4.6,20.3
moussa_magnet,2,1.0,0.5,23.0
mraxes,5,0.0,0.8,4.8
mrlarryjohnson,11,0.818,0.5454545454545454,3.5454545454545454
mudassirabbasi1,3,0.667,0.3333333333333333,1.3333333333333333
mynewhome,8,0.0,0.125,4.75
naver_crawling,2,1.0,0.5,4.0
navy_currant,10,0.9,0.7,2.7
nc-automations,4,0.75,3.5,7.25
nectared_screen,2,0.5,1.5,1.5
nectia,6,0.0,0.0,1.8333333333333333
neuralverge,29,1.0,16.896551724137932,16.689655172413794
newbs,17,0.235,1.8823529411764706,66.94117647058823
nexgendata,497,0.918,1.9175050301810865,16.782696177062373
nezha,12,0.583,0.6666666666666666,6.083333333333333
nicolas_izquierdo,5,1.0,0.8,1.6
ninja.dev,2,1.0,1.5,6.0
njoylab,13,0.615,2.0,16.76923076923077
nkactors,3,1.0,9.666666666666666,8.333333333333334
nomad-agent,57,1.0,2.7719298245614037,24.87719298245614
nominated_tupelo,7,1.0,0.7142857142857143,3.4285714285714284
nordicdataforge,5,1.0,1.0,3.6
